Date, Close/Last, Volume, Open, High, Low
04/23/2019, $2.138, 2537, $2.04, $2.138, $2.04
04/22/2019, $2.12, 4459, $2.18, $2.18, $2.1198
04/18/2019, $2.128, 3323, $2.194, $2.227, $2.12
04/17/2019, $2.2, 561, $2.1208, $2.2, $2.1208
04/16/2019, $2.1996, 4198, $2.1772, $2.1996, $2.1
04/15/2019, $2.24, 2010, $2.32, $2.32, $2.14
04/12/2019, $2.22, 1070, $2.26, $2.26, $2.14
04/11/2019, $2.24, 1502, $2.16, $2.24, $2.16
04/10/2019, $2.22, 2774, $2.1, $2.22, $2.1
04/09/2019, $2.1094, 5113, $2.12, $2.2, $2.1094
04/08/2019, $2.2, 9142, $2.22, $2.28, $2.2
04/05/2019, $2.2202, 2196, $2.2, $2.28, $2.2
04/04/2019, $2.2612, 15308, $2.28, $2.2986, $2.16
04/03/2019, $2.32, 29994, $2.14, $2.36, $2.14
04/02/2019, $2.12, 5590, $2.12, $2.18, $2.0302
04/01/2019, $2.14, 13385, $2.02, $2.16, $2.02
03/29/2019, $2.02, 99444, $2.08, $2.344, $2.02
03/28/2019, $2.1, 3566, $2.12, $2.12, $2.0502
03/27/2019, $2.16, 4273, $2.16, $2.16, $2.12
03/26/2019, $2.1652, 3507, $2.16, $2.1998, $2.14
03/25/2019, $2.14, N/A, $2.14, $2.14, $2.14
03/22/2019, $2.14, 9831, $2.11, $2.16, $2.1
03/21/2019, $2.16, 501, $2.0674, $2.16, $2.0674
03/20/2019, $2.14, 10123, $2.08, $2.16, $2.0704
03/19/2019, $2.12, 5799, $2.1, $2.12, $2.06
03/18/2019, $2.18, 3677, $2.18, $2.18, $2.06
03/15/2019, $2.0964, 5465, $2.06, $2.14, $2.0304
03/14/2019, $2.06, 17977, $2.12, $2.13, $2
03/13/2019, $2.2, 3466, $2.18, $2.22, $2.1
03/12/2019, $2.16, 6466, $2.16, $2.2144, $2.1
03/11/2019, $2.26, 7970, $2.3822, $2.3822, $2.104
03/08/2019, $2.3, 10791, $2.5, $2.5, $2.3
03/07/2019, $2.3758, 68775, $2.74, $2.74, $2.3
03/06/2019, $2.6254, 132185, $2.24, $2.78, $2.18
03/05/2019, $2.2624, 61660, $2.2292, $2.58, $2.16
03/04/2019, $2.2398, 6861, $2.12, $2.28, $2.1
03/01/2019, $2.1724, 784, $2.16, $2.24, $2.16
02/28/2019, $2.1304, 7447, $2.212, $2.212, $2.12
02/27/2019, $2.148, 125, $2.148, $2.148, $2.148
02/26/2019, $2.1954, 6107, $2.16, $2.1954, $2.0606
02/25/2019, $2.1662, 31599, $2.08, $2.38, $2.067
02/22/2019, $2.0914, 4785, $2.082, $2.0998, $2.08
02/21/2019, $2.0466, 1285, $2.06, $2.106, $2.04
02/20/2019, $2.1, 406, $2.1, $2.1, $2.1
02/19/2019, $2.0342, 2231, $2.06, $2.08, $2.0342
02/15/2019, $2.08, 1086, $2.08, $2.08, $2.0112
02/14/2019, $2.0208, N/A, $2.0208, $2.0208, $2.0208
02/13/2019, $2.0208, 17111, $2.18, $2.26, $1.998
02/12/2019, $2.04, 917, $2.1112, $2.1112, $2.04
02/11/2019, $2.02, 838, $2.18, $2.2, $2.02
02/08/2019, $2.0802, 4598, $2.04, $2.18, $2.0398
02/07/2019, $2.04, 2953, $2.38, $2.38, $1.996
02/06/2019, $2.01, 4137, $2, $2.01, $2
